ano,sigla_uf,id_municipio,familia_ocupacional_cbo,quantidade_profissionais,soma_carga_horaria_ambulatorial
2024,SP,3554003,3911,14,0
2024,SP,3550308,1424,38,0
2024,SP,3518404,2263,1,10
2023,SP,3509502,7630,8,0
2023,SP,3513801,5131,34,0
2024,SP,3527207,3011,1,0
2024,SP,3550308,3012,21,0
2024,SP,3526704,2149,1,0
2024,SP,3503208,3131,5,0
2024,SP,3543907,5199,2,0
2024,SP,3542404,7911,1,0
2024,SP,3548500,2124,25,0
2024,SP,3507506,6220,3,0
2024,SP,3506003,3221,2,40
2024,SP,3524006,3221,13,37
2023,SP,3509502,3541,7,0
2023,SP,3506003,3122,65,2580
2023,SP,3513009,7166,2,0
2023,SP,3519907,7824,2,0
2023,SP,3552551,2392,3,0
2023,SP,3505708,3911,31,0
2024,SP,3550308,2611,5,0
2024,SP,3505708,2524,12,0
2024,SP,3528403,3911,1,0
2022,SP,3545209,3541,1,0
2022,SP,3543402,5135,14,0
2022,SP,3529203,5135,7,0
2022,SP,3544301,9922,1,0
2023,SP,3546603,2410,1,0
2023,SP,3529203,5135,7,0
2024,SP,3550308,2032,35,0
2024,SP,3548500,3252,34,41
2024,SP,3513504,1425,1,0
2022,SP,3503208,2149,6,44
2022,SP,3509502,2522,20,0
2022,SP,3505708,3912,3,0
2023,SP,3547304,3133,1,0
2023,SP,3522604,3341,8,0
2023,SP,3552809,7166,3,0
2024,SP,3525300,5191,6,0
2024,SP,3522208,9511,6,0
2023,SP,3550308,3411,1,0
2023,SP,3548708,3131,5,0
2021,SP,3547809,7156,20,0
2024,SP,3550407,5101,1,0
2022,SP,3534906,2142,1,0
2023,SP,3550308,3201,11,0
2023,SP,3529005,1236,1,0
2023,SP,3513603,2263,1,0
2023,SP,3518800,3912,1,0
2023,SP,3526902,5103,4,0
2024,SP,3505500,2512,7,0
2024,SP,3509502,2512,7,0
2024,SP,3531605,4122,1,0
2024,SP,3510005,7152,1,0
2024,SP,3524402,3172,5,0
2024,SP,3513009,3911,9,0
2024,SP,3500105,7911,3,20
2024,SP,3530607,2410,5,0
2022,SP,3547809,9113,1,0
2023,SP,3550308,7842,53,0
2023,SP,3509502,9541,4,0
2021,SP,3518404,0103,50,0
2021,SP,3550308,3421,17,0
2021,SP,3525300,4223,61,0
2021,SP,3548500,5153,1,0
2024,SP,3527306,1210,1,0
2023,SP,3550308,2613,34,0
2023,SP,3549904,5153,1,0
2023,SP,3539806,2522,1,0
2023,SP,3548500,2131,8,138
2023,SP,3525300,3511,1,0
2023,SP,3505708,3912,3,0
2022,SP,3550308,9541,19,0
2024,SP,3552205,3131,5,0
2024,SP,3550605,5201,1,0
2023,SP,3522406,5153,17,280
2021,SP,3514403,3423,1,0
2021,SP,3509502,1210,8,0
2021,SP,3552809,5131,115,0
2021,SP,3509502,2031,2,0
2021,SP,3550308,7711,38,0
2021,SP,3546405,7605,2,0
2022,SP,3543907,3542,11,0
2022,SP,3510609,3911,13,0
2022,SP,3548708,5173,89,0
2021,SP,3548708,3252,16,168
2021,SP,3530607,3133,1,0
2021,SP,3505500,2149,2,10
2022,SP,3530607,1422,8,0
2022,SP,3509502,5199,12,0
2022,SP,3516200,3912,5,0
2022,SP,3527108,2524,2,0
2022,SP,3503208,3111,1,0
2022,SP,3551702,5135,5,0
2022,SP,3516309,7152,5,0
2022,SP,3552601,2132,1,0
2021,SP,3552205,3951,7,0
2022,SP,3521002,5121,18,0
2022,SP,3548500,5165,43,0
2022,SP,3515186,9542,1,0
2022,SP,3541000,2124,1,0
2021,SP,3524808,2628,1,20
2021,SP,3530201,5164,1,0
