ano,mes,sigla_uf,id_municipio,quantidade_atendimentos,valor_total_aprovado
2021,2,SP,3553658,3653,150.05
2021,2,SP,3540259,15,0.0
2021,2,SP,3527801,1433,4948.32
2021,7,SP,3515707,163446,774701.5900000008
2021,7,SP,3508405,79944,336243.29999999993
2021,7,SP,3530706,91171,906403.9700000004
2021,7,SP,3556453,3248,20876.479999999996
2021,7,SP,3552908,2658,13136.64
2021,7,SP,3556958,227,66.12
2024,1,SP,3511003,46226,99029.12
2024,1,SP,3531209,18454,47980.85
2024,1,SP,3536257,17355,25724.530000000006
2021,6,SP,3548708,1737816,6937171.169999828
2021,6,SP,3525300,150755,5698822.600000029
2021,6,SP,3504503,69040,638912.6900000005
2021,6,SP,3500105,62622,609020.2199999986
2021,6,SP,3541703,8394,29695.150000000027
2021,6,SP,3509452,632,4241.24
2021,6,SP,3506409,9537,22703.860000000022
2021,6,SP,3532702,63,0.0
2021,6,SP,3556107,17657,60313.61000000001
2021,4,SP,3546603,67713,363689.17999999993
2021,4,SP,3505500,768202,8172688.369999961
2021,4,SP,3503802,20333,0.0
2021,4,SP,3517505,37131,101289.71999999999
2021,4,SP,3509601,73332,785053.230000001
2021,4,SP,3531506,35878,133551.22
2021,4,SP,3547908,7371,22868.129999999997
2021,4,SP,3546306,21080,73743.23000000001
2021,4,SP,3532157,166,2176.92
2021,4,SP,3542008,11076,4079.479999999999
2021,4,SP,3522653,604,2285.9
2022,1,SP,3529500,12567,4519.0499999999965
2022,1,SP,3536307,14236,20310.860000000015
2022,1,SP,3505906,91003,667496.3700000002
2022,1,SP,3548708,1810373,7081758.989999868
2022,1,SP,3538501,9640,62384.87999999999
2022,1,SP,3551306,40,222.08
2023,3,SP,3539806,120650,454248.30999999994
2023,3,SP,3535309,65629,164885.84999999992
2023,3,SP,3524105,64341,1078054.1199999999
2023,3,SP,3500907,7984,6527.0999999999985
2023,3,SP,3519204,13106,3121.1999999999994
2023,3,SP,3557006,136680,740509.7699999963
2023,3,SP,3517109,13681,16223.120000000014
2023,3,SP,3533254,10541,11186.319999999992
2023,3,SP,3501103,3764,27810.39
2023,3,SP,3521200,1794,0.0
2023,7,SP,3536703,69018,237902.1900000001
2023,7,SP,3557006,123037,604376.0499999801
2023,7,SP,3521705,35681,85041.25000000001
2023,7,SP,3545159,28192,47330.31
2023,7,SP,3552700,9529,45601.399999999994
2023,7,SP,3501509,4087,1386.9
2023,7,SP,3532306,1677,2430.0
2023,10,SP,3526506,10090,5927.84
2023,10,SP,3553005,48970,125463.04999999999
2023,10,SP,3523602,23284,55965.38000000032
