ano,mes,sigla_uf,id_municipio,id_estabelecimento_cnes,tipo_unidade,id_natureza_juridica,quantidade_leito_cirurgico,quantidade_leito_clinico,quantidade_leito_complementar,indicador_atencao_ambulatorial
2024,1,SP,3523800,2922673,2,1244,0,0,0,1
2024,1,SP,3530805,2025663,2,1244,0,0,0,1
2024,1,SP,3530805,2088150,2,1244,0,0,0,1
2024,1,SP,3530805,2088126,2,1244,0,0,0,1
2024,1,SP,3530805,2088169,2,1244,0,0,0,1
2024,1,SP,3530805,2088088,2,1244,0,0,0,1
2024,1,SP,3530706,5355710,2,1244,0,0,0,1
2024,1,SP,3500303,2749122,2,1244,0,0,0,1
2024,1,SP,3500303,2837862,2,1244,0,0,0,1
2024,1,SP,3549102,2038153,2,1244,0,0,0,1
2024,1,SP,3549102,2035294,2,1244,0,0,0,1
2024,1,SP,3500402,2071827,2,1244,0,0,0,1
2024,1,SP,3500402,2749114,2,1244,0,0,0,1
2024,1,SP,3501905,2028018,2,1244,0,0,0,1
2024,1,SP,3501905,2046156,2,1244,0,0,0,1
2024,1,SP,3524709,0183482,2,1244,0,0,0,1
2024,1,SP,3524709,2022273,2,1244,0,0,0,1
2024,1,SP,3551603,2749939,2,1244,0,0,0,1
2024,1,SP,3522604,2040824,2,1244,0,0,0,1
2024,1,SP,3522604,2033860,2,1244,0,0,0,1
2024,1,SP,3515186,7956258,2,1244,0,0,0,1
2024,1,SP,3543402,3307905,2,1244,0,0,0,1
2024,1,SP,3543402,2040476,2,1244,0,0,0,1
2024,1,SP,3543402,2049856,2,1244,0,0,0,1
2024,1,SP,3518859,9316108,2,1244,0,0,0,1
2024,1,SP,3518859,4259521,2,1244,0,0,0,1
2024,1,SP,3513108,7620969,2,1244,0,0,0,1
2024,1,SP,3551504,9596127,2,1244,0,0,0,1
2024,1,SP,3551702,2040891,2,1244,0,0,0,1
2024,1,SP,3551702,7069944,2,1244,0,0,0,1
2024,1,SP,3551702,3492958,2,1244,0,0,0,1
2024,1,SP,3550902,2058227,2,1244,0,0,0,1
2024,1,SP,3550902,6508464,2,1244,0,0,0,1
2024,1,SP,3551405,2746336,2,1244,0,0,0,1
2024,1,SP,3509403,2022990,2,1244,0,0,0,1
2024,1,SP,3547601,2746239,2,1244,0,0,0,1
2024,1,SP,3501004,3080528,2,1244,0,0,0,1
2024,1,SP,3547908,6396364,2,1244,0,0,0,1
2024,1,SP,3516200,9647198,2,1244,0,0,0,1
2024,1,SP,3516200,2061597,2,1244,0,0,0,1
2024,1,SP,3536307,2745968,2,1244,0,0,0,1
2024,1,SP,3549508,2092174,2,1244,0,0,0,1
2024,1,SP,3537008,5049032,2,1244,0,0,0,1
2024,1,SP,3537008,2047608,2,1244,0,0,0,1
2024,1,SP,3524105,2023822,2,1244,0,0,0,1
2024,1,SP,3524105,7072120,2,1244,0,0,0,1
2024,1,SP,3529708,5115949,2,1244,0,0,0,1
2024,1,SP,3529708,0259799,2,1244,0,0,0,1
2024,1,SP,3520103,9997369,2,1244,0,0,0,1
2024,1,SP,3517703,2030225,2,1244,0,0,0,1
2024,1,SP,3534302,2053659,2,1244,0,0,0,1
2024,1,SP,3525102,2087073,2,1244,0,0,0,1
2024,1,SP,3506102,2022745,2,1244,0,0,0,1
2024,1,SP,3506102,2022443,2,1244,0,0,0,1
2024,1,SP,3553203,7446756,2,1244,0,0,0,1
2024,1,SP,3553104,7205392,2,1244,0,0,0,1
2024,1,SP,3556800,7919344,2,1244,0,0,0,1
2024,1,SP,3554409,2054949,2,1244,0,0,0,1
2024,1,SP,3505500,7585020,2,1244,0,0,0,1
2024,1,SP,3503208,5927390,2,1244,0,0,0,1
2024,1,SP,3503208,2074753,2,1244,0,0,0,1
2024,1,SP,3532058,2747219,2,1244,0,0,0,1
2024,1,SP,3518602,6334881,2,1244,0,0,0,1
2024,1,SP,3505609,7463472,2,1244,0,0,0,1
2024,1,SP,3519600,2747359,2,1244,0,0,0,1
2024,1,SP,3519600,2747677,2,1244,0,0,0,1
2024,1,SP,3533502,0723592,2,1244,0,0,0,1
2024,1,SP,3549805,2096838,2,1244,0,0,0,1
2024,1,SP,3549805,2096927,2,1244,0,0,0,1
2024,1,SP,3549805,3427706,2,1023,0,0,0,1
2024,1,SP,3549805,2096978,2,1244,0,0,0,1
2024,1,SP,3540804,2030470,2,1244,0,0,0,1
2024,1,SP,3504602,9208755,2,1244,0,0,0,1
2024,1,SP,3530300,2716151,2,1244,0,0,0,1
2024,1,SP,3530300,2053934,2,1244,0,0,0,1
2024,1,SP,3531407,2089858,2,1244,0,0,0,1
2024,1,SP,3524501,6440932,2,1244,0,0,0,1
2024,1,SP,3553401,4224191,2,1244,0,0,0,1
2024,1,SP,3553401,2076004,2,1244,0,0,0,1
2024,1,SP,3532603,0447838,2,1244,0,0,0,1
2024,1,SP,3525706,2093413,2,1244,0,0,0,1
2024,1,SP,3528106,9443630,2,1244,0,0,0,1
2024,1,SP,3528106,2036045,2,1244,0,0,0,1
2024,1,SP,3531001,2036142,2,1244,0,0,0,1
2024,1,SP,3555208,2046792,2,1244,0,0,0,1
2024,1,SP,3552304,3823687,2,1244,0,0,0,1
2024,1,SP,3537404,6395139,2,1244,0,0,0,1
2024,1,SP,3533908,2043092,2,1244,0,0,0,1
2024,1,SP,3509304,2075008,2,1244,0,0,0,1
2024,1,SP,3519808,2060922,2,1244,0,0,0,1
2024,1,SP,3536604,9913831,2,1023,0,0,0,1
2024,1,SP,3501202,6744419,2,1244,0,0,0,1
2024,1,SP,3501806,2716577,2,1244,0,0,0,1
2024,1,SP,3510708,2051923,2,1244,0,0,0,1
2024,1,SP,3515509,5657857,2,1244,0,0,0,1
2024,1,SP,3529609,2028557,2,1244,0,0,0,1
2024,1,SP,3518008,2716178,2,1244,0,0,0,1
2024,1,SP,3546603,2055112,2,1244,0,0,0,1
2024,1,SP,3544509,2075172,2,1244,0,0,0,1
2024,1,SP,3538105,2053918,2,1244,0,0,0,1
2024,1,SP,3521903,2052350,2,1244,0,0,0,1
2024,1,SP,3519402,3204340,2,1244,0,0,0,1
2024,1,SP,3511300,7453051,2,1244,0,0,0,1
2024,1,SP,3553708,2026481,2,1244,0,0,0,1
2024,1,SP,3531308,9980210,2,1244,0,0,0,1
2024,1,SP,3531308,9980229,2,1244,0,0,0,1
2024,1,SP,3503703,9752242,2,1244,0,0,0,1
2024,1,SP,3529302,3380920,2,1244,0,0,0,1
2024,1,SP,3529302,6446825,2,1244,0,0,0,1
2024,1,SP,3502804,2032422,2,1244,0,0,0,1
2024,1,SP,3506508,9969721,2,1244,0,0,0,1
2024,1,SP,3507753,2073595,2,1244,0,0,0,1
2024,1,SP,3537305,2028379,2,1244,0,0,0,1
2024,1,SP,3501103,2035448,2,1244,0,0,0,1
2024,1,SP,3505104,2040379,2,1244,0,0,0,1
2024,1,SP,3504404,9394559,2,1244,0,0,0,1
2024,1,SP,3541604,2789779,2,1244,0,0,0,1
2024,1,SP,3527108,2039613,2,1244,0,0,0,1
2024,1,SP,3517208,2790475,2,1244,0,0,0,1
2024,1,SP,3544608,2790467,2,1244,0,0,0,1
2024,1,SP,3517307,2092727,2,1244,0,0,0,1
2024,1,SP,3508801,3408027,2,1244,0,0,0,1
2024,1,SP,3555901,2790130,2,1244,0,0,0,1
2024,1,SP,3530102,3007901,2,1023,0,0,0,1
2024,1,SP,3556305,2081180,2,1023,0,0,0,1
2024,1,SP,3502101,2033127,2,1244,0,0,0,1
2024,1,SP,3502101,6793835,2,1244,0,0,0,1
2024,1,SP,3506003,2044242,2,1244,0,0,0,1
2024,1,SP,3506003,2084724,2,1244,0,0,0,1
2024,1,SP,3506003,7344252,2,1244,0,0,0,1
2024,1,SP,3506003,2033607,2,1244,0,0,0,1
2024,1,SP,3506003,7202709,2,1244,0,0,0,1
2024,1,SP,3503406,2785595,2,1244,0,0,0,1
2024,1,SP,3536703,7155859,2,1244,0,0,0,1
2024,1,SP,3536703,2791536,2,1244,0,0,0,1
2024,1,SP,3514106,2791234,2,1244,0,0,0,1
2024,1,SP,3516606,4090187,2,1023,0,0,0,1
2024,1,SP,3529005,4265203,2,1244,0,0,0,1
2024,1,SP,3529005,2035170,2,1244,0,0,0,1
2024,1,SP,3529005,2053772,2,1244,0,0,0,1
2024,1,SP,3529005,2059215,2,1244,0,0,0,1
2024,1,SP,3529005,2716887,2,1244,0,0,0,1
2024,1,SP,3529005,4265165,2,1244,0,0,0,1
