id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3505807,2022,36,21,412,21503,1.6741849974422174,19.16011719294982
3505807,2023,36,21,410,21503,1.6741849974422174,19.06710691531414
3505807,2024,41,21,430,21900,1.8721461187214612,19.634703196347033
3505906,2021,271,80,1062,63438,4.271887512216652,16.7407547526719
3505906,2022,280,87,1042,58402,4.794356357658985,17.841854731002364
3505906,2023,290,73,1071,58402,4.96558337043252,18.338413068045615
3505906,2024,307,73,1155,59873,5.127519917157985,19.29083226162043
3506003,2021,870,1194,9964,381706,2.2792410913111136,26.10386003887809
3506003,2022,899,1223,10106,379146,2.3711182499617562,26.654639637501123
3506003,2023,942,1269,10481,379146,2.484531024987736,27.6437045359835
3506003,2024,972,1222,11009,391740,2.481237555521519,28.102823301169146
3506102,2021,300,137,1752,77612,3.865381642014121,22.57382878936247
3506102,2022,327,140,1716,76373,4.281617849239915,22.46867348408469
3506102,2023,346,113,1946,76373,4.53039686800309,25.48020897437576
3506102,2024,357,129,2381,78210,4.56463367855773,30.443677279120315
3506201,2021,4,0,40,3028,1.321003963011889,13.21003963011889
3506201,2022,3,0,40,2606,1.1511895625479662,15.349194167306216
3506201,2023,3,0,45,2606,1.1511895625479662,17.267843438219494
3506201,2024,3,0,39,2642,1.1355034065102196,14.761544284632853
3506300,2021,19,18,185,11168,1.7012893982808024,16.56518624641834
3506300,2022,19,23,202,11607,1.6369432239166022,17.403291117429138
3506300,2023,20,23,212,11607,1.7230981304385284,18.2648401826484
3506300,2024,21,18,247,11852,1.7718528518393521,20.840364495443808
3506359,2021,50,59,729,66154,0.7558121957855912,11.019741814553921
3506359,2022,52,56,734,64188,0.8101202717018757,11.435159219791862
3506359,2023,78,18,725,64188,1.2151804075528136,11.29494609584346
3506359,2024,98,18,842,66873,1.4654643877200066,12.591030759798423
3506409,2021,10,30,102,8197,1.2199585214102722,12.443576918384775
3506409,2022,11,30,97,7319,1.5029375597759256,13.253176663478618
3506409,2023,12,30,104,7319,1.6395682470282824,14.209591474245116
3506409,2024,13,30,126,7455,1.743796109993293,16.901408450704224
3506508,2021,228,132,1796,126094,1.8081748536805875,14.243342268466382
3506508,2022,244,132,1815,118979,2.050782070785601,15.254792862606005
3506508,2023,264,117,1882,118979,2.218878961833601,15.817917447616805
3506508,2024,290,118,1870,122988,2.3579536214915278,15.20473542134192
3506607,2021,21,0,295,33265,0.631294153013678,8.868179768525478
3506607,2022,21,10,335,29683,0.7074756594683826,11.28592123437658
3506607,2023,22,4,377,29683,0.7411649765859246,12.700872553313346
3506607,2024,24,13,359,30526,0.7862150298106533,11.760466487584354
3506706,2021,22,11,147,15111,1.4558930580371914,9.728012705975779
3506706,2022,21,12,169,12978,1.6181229773462784,13.022037293881954
3506706,2023,21,16,191,12978,1.6181229773462784,14.71721374633996
3506706,2024,19,16,186,13135,1.446516939474686,14.160639512752189
